province,cityname,record_date,high,low,weather,wd,ws
上海,上海,2022-6-28,35,25,多云,南风,2
上海,上海,2022-6-29,35,26,多云,南风,2
上海,上海,2022-6-30,33,26,阴到中雨,南风,1
上海,上海,2022-5-1,20,13,多云,东南风,1
上海,上海,2022-5-2,27,13,晴,西风,3
上海,上海,2022-5-3,27,16,多云,东南风,1
上海,上海,2022-5-4,27,15,晴,东南风,1
上海,上海,2022-5-5,26,17,晴,东南风,2
上海,上海,2022-5-6,29,16,多云,东南风,1
上海,上海,2022-5-7,27,17,多云,东北风,2
上海,上海,2022-5-8,22,13,晴,东北风,2
上海,上海,2022-5-9,22,17,多云,东北风,2
上海,上海,2022-5-10,21,17,多云,东南风,1
上海,上海,2022-5-11,23,18,多云,东北风,1
上海,上海,2022-5-12,20,16,小雨,东风,2
上海,上海,2022-5-13,21,13,多云,北风,3
上海,上海,2022-5-14,22,15,多云,东北风,1
上海,上海,2022-5-15,23,14,阴,西南风,2
上海,上海,2022-5-16,26,17,多云,南风,3
上海,上海,2022-5-17,28,17,多云,南风,2
上海,上海,2022-5-18,28,17,多云,东南风,1
上海,上海,2022-5-19,23,19,小雨,东南风,1
上海,上海,2022-5-20,23,18,多云,东风,3
上海,上海,2022-5-21,25,16,多云,南风,1
上海,上海,2022-5-22,31,18,晴,东南风,2
上海,上海,2022-5-23,26,20,多云,东南风,3
上海,上海,2022-5-24,22,17,多云,东南风,1
上海,上海,2022-5-25,25,19,多云,东南风,2
上海,上海,2022-5-26,24,19,多云,东南风,1
上海,上海,2022-5-27,28,21,多云,东南风,1
上海,上海,2022-5-28,24,19,多云,东南风,1
上海,上海,2022-5-29,25,20,多云,西南风,1
上海,上海,2022-5-30,30,19,多云,东北风,3
上海,上海,2022-5-31,29,20,多云,东南风,2
上海,上海,2022-4-1,9,-2,晴,西南风,1
上海,上海,2022-4-2,15,8,多云,东北风,1
上海,上海,2022-4-3,17,8,晴,东风,1
上海,上海,2022-4-4,19,9,多云,东南风,3
